text,label
"Comment traduire 'Où est la gare ?' en allemand ?",translate
"Quelle est la traduction de 'Bonjour, comment ça va ?' en italien ?",translate
"J'aimerais dire 'Je t'aime' en coréen, pouvez-vous m'aider ?",translate
"Traduisez 'Réservez une table pour deux personnes' en espagnol",translate
Existe-t-il des alertes de voyage actuelles pour l'Égypte ?,travel_alert
Est-il sécurisé de voyager en Iran en ce moment ?,travel_alert
Y a-t-il des avertissements pour les voyageurs en Haïti ?,travel_alert
Quelles sont les alertes de voyage pour le Venezuela ?,travel_alert
Quel est le statut du vol Air France 789 ?,flight_status
Mon vol KLM 456 est-il à l'heure ?,flight_status
Quelle est la porte d'embarquement pour le vol Delta 321 ?,flight_status
À quelle heure atterrit le vol Emirates 654 ?,flight_status
"Mes bagages ont disparu après le vol British Airways 789 à Heathrow",lost_luggage
"Je n'ai pas reçu ma valise suite au vol Qatar 123 à Dubaï",lost_luggage
"Que faire si mes bagages sont perdus sur le vol Lufthansa 456 ?",lost_luggage
À qui signaler la perte d’un sac sur le vol Ryanair 987 ?,lost_luggage
Quelles activités recommandez-vous à Bangkok ?,travel_suggestion
"Si je visite Oslo, quels lieux sont incontournables ?",travel_suggestion
Où manger des spécialités locales à Lisbonne ?,travel_suggestion
Donnez-moi des idées de visites à Marrakech,travel_suggestion
Puis-je prendre une trousse de toilette en cabine avec Air France ?,carry_on
Quelles sont les règles des bagages à main pour les vols domestiques ?,carry_on
Combien de liquide est autorisé en cabine sur les vols internationaux ?,carry_on
Est-ce qu’un ordinateur portable compte comme un bagage à main ?,carry_on
Réservez-moi un hôtel près de la plage à Miami du 5 au 12 août,book_hotel
"Trouvez un hébergement économique à Paris du 20 au 25 septembre",book_hotel
Quels hôtels proposent des spas à Zurich ?,book_hotel
"Je cherche un hôtel familial à Kyoto pour le mois de juillet",book_hotel
"Proposez-moi un vol aller-retour Montréal-Toronto le 15 octobre",book_flight
"Réservez un vol économique de Genève à New York en novembre",book_flight
Existe-t-il des vols directs de Madrid à Tokyo en décembre ?,book_flight
Combien de temps faut-il pour cuire un œuf dur ?,out_of_scope
Quel est le meilleur film de tous les temps selon les critiques ?,out_of_scope
Comment réinitialiser un mot de passe Gmail oublié ?,out_of_scope
Quelle est la distance entre la Terre et la Lune ?,out_of_scope
Qui a inventé l'ampoule électrique ?,out_of_scope
Quelle est la recette traditionnelle de la paella ?,out_of_scope
"Pouvez-vous me dire comment dire «je ne parle pas beaucoup espagnol», en espagnol",translate
Dites-moi comment dire: «C'est une belle matinée» en italien,translate
"Si j'étais japonais, comment dirais-je que je suis touriste",translate
Comment dire «hôtel» en finnois,translate
"J'ai besoin que vous traduisiez la phrase, «nous y serons bientôt» en portugais",translate
Veuillez me dire comment demander un taxi en français,translate
Comment dire bonjour en anglais,translate
La Corée du Nord a-t-elle des alertes de voyage que je devrais être conscientes,travel_alert
Y a-t-il des alertes de voyage pour la Syrie,travel_alert
Y a-t-il une alerte de voyage pour la Russie,travel_alert
Est-il sûr de se rendre en Islande,travel_alert
Parlez-moi des alertes de voyage émises pour l'Allemagne,travel_alert
Y a-t-il des nouvelles sur le vol DL123,flight_status
Quand allons-nous commencer à monter à bord de mon vol prévu,flight_status
Quand mon vol décollera-t-il,flight_status
Quand mon vol atterrira-t-il,flight_status
quelle est la porte d'embarquement pour mon vol AF847,flight_status
Quand vais-je arriver à destination,flight_status
Localiser les bagages perdus de Flight America Airlines à O'Hare,lost_luggage
Perte des bagages sur Flight America Airlines à O'Hare,lost_luggage
Je pense que mes bagages ont été perdus,lost_luggage
"Mes bagages sont manquants, j'étais sur le vol Frontier AB123 depuis Seattle",lost_luggage
"Aide, j'ai perdu mes bagages",lost_luggage
Savez-vous qui je devrais contacter car mes valises ne sont pas arrivées,lost_luggage
À qui dois-je me plaindre que mes bagages n'arrivent pas à l'aéroport,lost_luggage
Veuillez suggérer des activités touristiques amusantes à Tokyo,travel_suggestion
"Si je vais à Evans, que dois-je faire",travel_suggestion
Quels sont les bons restaurants à Chicago,travel_suggestion
où devrais-je passer mon temps libre,travel_suggestion
Que puis-je faire à Nashville,travel_suggestion
Donnez-moi une liste de choses à faire à Orlando,travel_suggestion
Où est la meilleure cave du sud de la France,travel_suggestion
Y a-t-il des activités touristiques amusantes en Australie,travel_suggestion
Voulez-vous me faire part des restrictions de bagage à main pour American Airlines,carry_on
Restrictions de cabine pour les émirats arabes unis,carry_on
Qu'est-ce que je suis autorisé à prendre en cabine avec American Airlines,carry_on
Y a-t-il une limite de poids pour mon bagage à main,carry_on
Combien de bagages à main puis-je prendre pendant un vol avec United pour Lax,carry_on
